TIMESPAN,TRANSACTION_COUNT
2022-04-30 00:00:00.000,834880
2022-04-30 01:00:00.000,894628
2022-04-30 02:00:00.000,923129
2022-04-30 03:00:00.000,912050
2022-04-30 04:00:00.000,995799
2022-04-30 05:00:00.000,1000812
2022-04-30 06:00:00.000,779296
2022-04-30 07:00:00.000,761580
2022-04-30 08:00:00.000,599988
2022-04-30 09:00:00.000,969091
2022-04-30 10:00:00.000,672863
2022-04-30 11:00:00.000,785287
2022-04-30 12:00:00.000,823373
2022-04-30 13:00:00.000,706683
2022-04-30 14:00:00.000,579143
2022-04-30 15:00:00.000,700501
2022-04-30 16:00:00.000,638511
2022-04-30 17:00:00.000,617013
2022-04-30 18:00:00.000,618836
2022-04-30 19:00:00.000,609077
2022-04-30 20:00:00.000,14856
2022-04-30 21:00:00.000,"null"
2022-04-30 22:00:00.000,"null"
2022-04-30 23:00:00.000,266220
2022-05-01 00:00:00.000,451753
2022-05-01 01:00:00.000,540241
2022-05-01 02:00:00.000,328434
2022-05-01 03:00:00.000,383096
2022-05-01 04:00:00.000,441242
2022-05-01 05:00:00.000,482265
2022-05-01 06:00:00.000,574522
2022-05-01 07:00:00.000,650594
2022-05-01 08:00:00.000,693399
2022-05-01 09:00:00.000,671192
2022-05-01 10:00:00.000,694013
2022-05-01 11:00:00.000,723271
2022-05-01 12:00:00.000,722620
2022-05-01 13:00:00.000,703554
2022-05-01 14:00:00.000,723542
2022-05-01 15:00:00.000,753772
2022-05-01 16:00:00.000,914744
2022-05-01 17:00:00.000,931971
2022-05-01 18:00:00.000,953424
2022-05-01 19:00:00.000,812848
2022-05-01 20:00:00.000,848572
2022-05-01 21:00:00.000,947994
2022-05-01 22:00:00.000,932230
2022-05-01 23:00:00.000,937117
﻿
