BLOCK_TIMESTAMP,TX_ID,SWAPPER,ROUTE,AMOUNT,AMOUNT_USD,SWAP_PROGRAM
2022-03-19 05:55:34.000,54idhzDo66HSN1KcQu2JSLR8YCQ4r2m4YECpxXKqfLhHgJXeid5mCPoQHEKGyrB5T5tiC3k7SWwqYghvNPpnoXG3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,SOL->CASH,0.1,8.97,jupiter aggregator v2
2022-03-23 11:50:55.000,3AWWgPV7z5pnV4oi1gNhepkoQEmazVJnUifU9e5hh4KpTKQLoyvFZfMLZ4ALYD39RUHaKnxwixaAoQZVjBmBQJZp,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,USDC->ETH,459712.916342,462671.86,jupiter aggregator v2
2022-03-23 08:50:22.000,25BjMsxo2DazepN88z2nZofJEorkoHWcR63gVHEj8NFXoSRaEHfFh3ienh4jxGDMfuY5iTJxxARus5NaUbFv9dov,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,USDC->UST,21000000,20635949.82,jupiter aggregator v2
2022-03-23 08:41:52.000,24jregEe2ZHvcrE8Urjrqh861ZaTCS3JAnkUBSNmdghu5BrDwUPuUJc6jxjy1YBaM4EKc1GJFqpbUbCQTFgRj7Q3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,USDT->ETH,5314118.358457,5220014.59,jupiter aggregator v2
2022-03-23 08:36:25.000,WTrvHgxuaK3g9PZ6sF66dZmJ1PZMVfDFZ3XvrcBvgeppfSA5xJdDrd64WpaY4dk4PCxpZDmAirrUhEdbN61X1Nq,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,USDT->ETH,5500000,5454580.04,jupiter aggregator v2
2022-03-23 08:33:58.000,4YJCfHHKFu9wLhEoxrCu6DxZu1cZsrFVUK5w1Ns2DrMs8LTyWj7pBLciNMatE8X4cQopZNcehLt1pimkcLMWmqfu,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,USDC->SOL,200,200.53,jupiter aggregator v2
2022-03-23 07:24:32.000,3MgDweAEAibnU3B34hvMw2bXWq8yJiN8QEaPLaCd45bfXb28kYMSoAb74HLPZdYznqx3nveFwZEAAV4AuqdcpbQ2,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,CASH->SOL,8.986511,8.93,jupiter aggregator v2
2022-03-23 08:21:41.000,3qeUYN3sjxxhZFTEGoDYEe4YNwqqQH8tpaa4UGdAqfVNWautK9fQ5JRoo4W1YKZ6ouVkk3sC51WQiwmxbpuinXm3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,CASH->USDC,986253434.959718,17045741.38,Saber Stable Swap
2022-03-23 08:48:22.000,5e5xdg9rf9upbq5yiYvNVVST1CpwuAcmVFCoTGJNcSUJSCjpH9ou9mtBzxM4FdBURxrTavBoNqKSnJsHrrq2fEoA,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,USDC->USDCET,8000000,7965508.12,jupiter aggregator v2
﻿
