EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,TOKEN_ADDRESS,AMOUNT,AMOUNT_USD
Transfered,2022-03-23 11:08:03.000,2xKmvnEQ2n7TqHvnCVMyguXLSednz4PReCqW638bYz5uQdpif2JjLgHEbxZcxTeqmSkqvsNrMFU5Pxzf1kDHJntx,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,113.21,113.21
Transfered,2022-03-23 08:33:58.000,4YJCfHHKFu9wLhEoxrCu6DxZu1cZsrFVUK5w1Ns2DrMs8LTyWj7pBLciNMatE8X4cQopZNcehLt1pimkcLMWmqfu,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,200,199.99
Transfered,2022-03-23 09:52:18.000,2poggj7x91qGZcQV9RHJgHWwaaTohj2zd53CYXM9j4j6F46rLYaAY2zmrH95g9qQFJMmi1BvaqAn6qUmnSzi1WcJ,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,92940.91,92938.32
Transfered,2022-03-23 11:16:59.000,3CGfUunPwvdaLpg8NbVUboB5bCrskgDq5k5e28WVGvdWSzQ7JPv1fmUXT5RMXR4CbJkhVCJRgc8RN4Jb4DoZF4hN,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,101,101
Transfered,2022-03-23 10:37:07.000,3HTQfBBHJc7DDCd9rF5NR2aVNgdonAqWFtL4HgwESgrxMPqHynqdzMdkfBdqcyVoZPotb1frVjGafQGqy5myHeL8,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1108.46,1108.43
Transfered,2022-03-23 11:31:14.000,5edVAh9wkfMrQdA6WULGJ2tMzwQfTMXmah2mZ5bQzrzETNnVLRFTa4EXkUH3TZgH2LL1q4aetXiXMeENom1jiHyG,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2992.65,2992.57
Transfered,2022-03-23 10:42:46.000,4ibZ32pn5YrJqkb6D7Ncq2DmdKs9N7sCdZuCiHFVY8yYT2RWjbiMKnbTzMXstocia8DjsuffAS57zm3wqcx2R7dN,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,399.79,399.78
Transfered,2022-03-23 11:18:38.000,2z4dZ1wwTKCmgwXD7cUoTDxu4ZpsiLxy3zvKPuBDaTC6QcLjAUWGCNrVgdr9pNLLmfXyjqQzf7nUdKTpeLHDETiG,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,100.04,100.04
Transfered,2022-03-23 11:07:48.000,3M7nGp3sJD7tCeXLGT1vQXJGEeGKFVaEGond1eUz8H79GxSACrJLRGeLFekJdnT3nNrut7mdJSQQNuRMQLgxfQyR,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,114.56,114.56
Transfered,2022-03-23 11:33:07.000,4ErhKZVeNNVQb2RFoWwiXcg8i8AmtrMFUzACSGji1gwCMwEjocHETMemFrCQvU59vBDwSjGwPeZ8petVRie5twpr,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1993.41,1993.35
