TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
"null","null",Bridged,2022-03-18 10:45:45.000,CQfHQCK4CSvfiQUP4iMWxePgfHwC6KTpy9Cj9Y3RvPpkpVGejHWF2u8gBiCdskwuexxoH23MWRfHpFiU3VwHfUz,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,inbound,ETH,0.01,28.35
0,Exploiter Bridged 0.01ETH outbound worth 28.35USD 0 days later,Bridged,2022-03-18 10:50:08.000,5RVmCPfQoR8wNvtmVpoh8cfVn9Hp7FBNWiKscLQ3yWGvLCmaSWjawodXpvjnsTQrMjkQKaZyuipkjDhXHZNgyWtW,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,ETH,0.01,28.35
1,Exploiter Swapped 0.1SOL to 8.986511CASH worth 9.03USD 1 days later,Swapped,2022-03-19 05:55:34.000,54idhzDo66HSN1KcQu2JSLR8YCQ4r2m4YECpxXKqfLhHgJXeid5mCPoQHEKGyrB5T5tiC3k7SWwqYghvNPpnoXG3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 8.986511CASH,SOL,0.1,9.03
0,Exploiter Transfered 8.95UST from 8ktsEvipmaW8y7PrWH3kGKTR4eBDgmUDUV8v2ginVvDS worth 8.98USD 0 days later,Transfered,2022-03-19 05:55:34.000,54idhzDo66HSN1KcQu2JSLR8YCQ4r2m4YECpxXKqfLhHgJXeid5mCPoQHEKGyrB5T5tiC3k7SWwqYghvNPpnoXG3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,from 8ktsEvipmaW8y7PrWH3kGKTR4eBDgmUDUV8v2ginVvDS,UST,8.95,8.98
0,Exploiter Transfered 8.99CASH from 7K88AAbfSVHEZY87Ur3PrDhBYpwhKfTGxSWzMdh7XxUj worth 8.97USD 0 days later,Transfered,2022-03-19 05:55:34.000,54idhzDo66HSN1KcQu2JSLR8YCQ4r2m4YECpxXKqfLhHgJXeid5mCPoQHEKGyrB5T5tiC3k7SWwqYghvNPpnoXG3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,from 7K88AAbfSVHEZY87Ur3PrDhBYpwhKfTGxSWzMdh7XxUj,CASH,8.99,8.97
0,Exploiter Transfered 8.95UST to 7K88AAbfSVHEZY87Ur3PrDhBYpwhKfTGxSWzMdh7XxUj worth 8.98USD 0 days later,Transfered,2022-03-19 05:55:34.000,54idhzDo66HSN1KcQu2JSLR8YCQ4r2m4YECpxXKqfLhHgJXeid5mCPoQHEKGyrB5T5tiC3k7SWwqYghvNPpnoXG3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 7K88AAbfSVHEZY87Ur3PrDhBYpwhKfTGxSWzMdh7XxUj,UST,8.95,8.98
0,Exploiter Transfered 0.1SOL to 8ktsEvipmaW8y7PrWH3kGKTR4eBDgmUDUV8v2ginVvDS worth 9.12USD 0 days later,Transfered,2022-03-19 05:55:34.000,54idhzDo66HSN1KcQu2JSLR8YCQ4r2m4YECpxXKqfLhHgJXeid5mCPoQHEKGyrB5T5tiC3k7SWwqYghvNPpnoXG3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 8ktsEvipmaW8y7PrWH3kGKTR4eBDgmUDUV8v2ginVvDS,SOL,0.1,9.12
0,Exploiter Transfered 8.99CASH to 4ofEvMGQ87LFQ9aNw6pCDocFytWBH8BYqL7MwDKfQt1U worth 3.37USD 0 minutes later,Transfered,2022-03-23 07:24:32.000,3MgDweAEAibnU3B34hvMw2bXWq8yJiN8QEaPLaCd45bfXb28kYMSoAb74HLPZdYznqx3nveFwZEAAV4AuqdcpbQ2,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 4ofEvMGQ87LFQ9aNw6pCDocFytWBH8BYqL7MwDKfQt1U,CASH,8.99,3.37
0,Exploiter Transfered 8.99USDC to HKJ6D9gssWAY8Zpkaf9MK3W8UEeuw4AHTMea9DFX68ip worth 8.99USD 0 minutes later,Transfered,2022-03-23 07:24:32.000,3MgDweAEAibnU3B34hvMw2bXWq8yJiN8QEaPLaCd45bfXb28kYMSoAb74HLPZdYznqx3nveFwZEAAV4AuqdcpbQ2,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to HKJ6D9gssWAY8Zpkaf9MK3W8UEeuw4AHTMea9DFX68ip,USDC,8.99,8.99
5849,Exploiter Swapped 8.99CASH to 0.098338259SOL worth 8.98USD 5849 minutes later,Swapped,2022-03-23 07:24:32.000,3MgDweAEAibnU3B34hvMw2bXWq8yJiN8QEaPLaCd45bfXb28kYMSoAb74HLPZdYznqx3nveFwZEAAV4AuqdcpbQ2,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 0.098338259SOL,CASH,8.99,8.98
