BLOCK_TIMESTAMP,TX_ID,SWAPPER,ROUTE,AMOUNT,AMOUNT_USD,SWAP_PROGRAM
2022-07-02 23:51:18.000,4bTRBFo9kAnZAz1ryEwH53NvWCt1JBCjdSdaSo8o6WBXjUTw7AfcfQCWnGEr7uDq5Nb4ABdYAa8PH45xiAqvGLz6,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDH->SOL,19159.950308,19593.7,jupiter aggregator v3
2022-07-02 23:56:19.000,rpHy2cX4PuCGkM3USAYq7H5maYhmNL5z7Eh8NqgDTTkKNMxyXuNwP62h3KsvMBMa7tv8VEKDg1bdPWHKomy5imo,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,21000,693399.17,jupiter aggregator v3
2022-07-02 23:58:31.000,4vybUkA5FaA8mShEcEDTayZ127VC6bu85fihEKtEhFiPQZJbToSNbxySaKtDVsqYfVnRRsGiUrnz4ucVzzRQZnGQ,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,10000,331635.86,jupiter aggregator v3
2022-07-02 23:10:14.000,2kAzWVuyiAgTgxMuUS4ogdYLSVwjQRvv4uvD4vGwdBQHVGVMFf2PkwmfkC2gPP6zDwmRR2FyC662CBkRzEWPkbrh,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDC->USDCET,1,1,Saber Router
2022-07-02 23:54:18.000,3rbJBCkL9RUA1AfuqjK4fMXePDTixyU29rBSwaNC3Rg26urPHc1anQ5b2BDjY2A9YhUoYTGZ4FzGnsrCTF29kbkk,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDC->USDCET,654523.009671,655627.65,jupiter aggregator v3
2022-07-02 23:07:51.000,5fdwRJQFxTzGdHqFjVkZhCpKCfR1Gt9uQnJtwEhq7cAgKiLHn7FrUrMEg3pEzd5qrzZmbo22vYZQCPBwj1AZayV2,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDH->USDCET,1,1,jupiter aggregator v3
2022-07-02 23:04:36.000,3ZrTVuTaMExKsoKkEoTzrNuJLZa8bJ5dywiypny1BzkViqHxfUdT3QCzVNYU8hSDpMLLtdP7oYwboT898E4hmpVE,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDH->USDCET,1,1,jupiter aggregator v3
2022-07-02 23:51:47.000,5JBuST1irXi18JhBC2J5gVcKTtFdPowdjqCMoDewonRTPikNNGBD8WQRL2oAqMYGEestSphPvRYPeGVFgxV2jrbL,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,PAI->USDCET,44031.884965,43930.46,jupiter aggregator v3
2022-07-02 22:27:14.000,5eWcMfXhbDhHSeGCLrrQG2JbRy8J4VgymH4DL6Vf8aJv8ggfmMEKDUZKh8hsJUAG3rqgvyThtBdAiG3miSSgspkF,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDT->SOL,999999.919034,970190.89,jupiter aggregator v3
2022-07-02 22:28:58.000,9MxH7WyyGJo7oiK47dbKREmo8wrXDwKRWUqpf83NQAsvFYviPjTQzbUvwbkYpNhC5i7Ans29q4fHbSUoHccRLxQ,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,ETH->SOL,0.56110393,589.33,Raydium Liquidity Pool V4
