EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
Transfered,2022-07-02 22:32:42.000,4rPDRpJqzi23BWaHsh37AzJwAFqejxKngLgvom7rvizZkkfJeCNixUkob1mHyX3M4TGFA1K84UJNLahFzTPVHHpe,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,120.51,120.66
Transfered,2022-07-02 22:53:49.000,2Z3PeH2Z9zMcq3dWuP5fdWd8k8UgpwyPT6m4tnz3gFcJo78UEs71xcmDYU3GKD4LJ5mr6JiAdvuyBqc1Gec24hKp,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,outbound,USDC,2368580.64,2371594.66
Transfered,2022-07-02 23:51:18.000,4bTRBFo9kAnZAz1ryEwH53NvWCt1JBCjdSdaSo8o6WBXjUTw7AfcfQCWnGEr7uDq5Nb4ABdYAa8PH45xiAqvGLz6,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,outbound,USDC,19129.68,19154.03
Transfered,2022-07-02 22:06:26.000,5tGmRT8fWF8TCPbdwkw7RKnquqKJ8KKsHn8CveNnEF2WPfXSG87JTbBBp4aqFJMzCTA9eK2kWj2ubfi1MitMr3td,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,6808.38,6817.05
Transfered,2022-07-02 22:06:26.000,5tGmRT8fWF8TCPbdwkw7RKnquqKJ8KKsHn8CveNnEF2WPfXSG87JTbBBp4aqFJMzCTA9eK2kWj2ubfi1MitMr3td,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,6808.38,6817.05
Transfered,2022-07-02 22:25:26.000,pit8jmLpxF2bsHTfeQngUM7sR6cvbwXynYnCUHUjybiKaLPKPcRbCFQeoK2pdtquvybSaqpvk4jHJ7GuAb9xn5u,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,120.51,120.66
Transfered,2022-07-02 21:57:55.000,2TLDzCCFQ2LdApQBhnXBdbYF7ebTmBgZ8MtQFjYE29BbBxHdBgAmyikmK2s76xQRQErPmR8KsE9jLFnJbJHy3Mvn,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,84900.35,85008.39
Transfered,2022-07-02 23:56:19.000,rpHy2cX4PuCGkM3USAYq7H5maYhmNL5z7Eh8NqgDTTkKNMxyXuNwP62h3KsvMBMa7tv8VEKDg1bdPWHKomy5imo,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,692368.94,693249.98
Transfered,2022-07-02 22:33:38.000,NoW32ZzkADJVRmJCXcHoV9ee9SsQg8f1b8HR6jAKs3pCncYEqAMSjcsCdRUw8dRK5AywSMrj12dm1vTkWnpZ4u4,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,outbound,USDC,199722.08,199976.23
Transfered,2022-07-02 22:29:01.000,4Vp4vBqbJXz5UHwdwXbV4GzD93uZBKwykRLi3ezfX1g9Rph2PTZpCGE9EsN4Lhjsr2fiqRJwEj2L1jBDVfbyKC2s,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,120.51,120.66
Transfered,2022-07-02 22:31:09.000,2YD1imPBkUpq8pgQTHufBpBQX1q4QxjpWAHhf9i9fzstbidm7boS2S9rBKz7UEQgJ5gKJwZnkQFfTVSEdAgAkX4z,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,120.51,120.66
Transfered,2022-07-02 22:53:49.000,2Z3PeH2Z9zMcq3dWuP5fdWd8k8UgpwyPT6m4tnz3gFcJo78UEs71xcmDYU3GKD4LJ5mr6JiAdvuyBqc1Gec24hKp,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,2368580.64,2371594.66
Transfered,2022-07-02 22:31:09.000,2YD1imPBkUpq8pgQTHufBpBQX1q4QxjpWAHhf9i9fzstbidm7boS2S9rBKz7UEQgJ5gKJwZnkQFfTVSEdAgAkX4z,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,120.51,120.66
Transfered,2022-07-02 00:16:04.000,31iq3TuevxHqw9iNekMF1FNGCTh1q7UXESmnZ9rpDRdT2JArp8tUDhzKMtKHZJp9Sjvhwk5gSUUCVgWJ9qcNu4FX,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,33.1,33.15
Transfered,2022-07-02 22:37:24.000,56Xs3yxWGcwW3drBsGNxfzeM8AuaQWNMyEbiuW1mRRsCxfAVdEkETu33DwoeVsumZWaezoKhU8NZWHEqFXNBcUGV,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,120.51,120.66
Transfered,2022-07-02 21:59:12.000,6AhmXSeoDj6zsDtxRuUUGJYJfrKGGF5CjzCKuBvq7E3AFZQCXxU1ccksXi8HbARJLR3EFgbJkEVcWQYbYzUUmGd,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,inbound,USDC,85155.04,85263.4
