TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 0.01MSOL from HS5GnRmXkeC8j2a6wJVaNhKNEbdrgeQJ1d3JL2x82g8Q worth 0.33USD 0 minutes later,Transfered,2022-07-02 00:14:25.000,5dcH1VQPMU8HKDy9rDsBco2A85Rn9knL4Bfes9t3m6eYGpgzDp6qSnXsHQGx9yrMNjfhsTrKtc3D42ULm25QvT9N,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,from HS5GnRmXkeC8j2a6wJVaNhKNEbdrgeQJ1d3JL2x82g8Q,MSOL,0.01,0.33
0,Exploiter Transfered 0.01SOL to HS5GnRmXkeC8j2a6wJVaNhKNEbdrgeQJ1d3JL2x82g8Q worth 0.33USD 0 minutes later,Transfered,2022-07-02 00:14:25.000,5dcH1VQPMU8HKDy9rDsBco2A85Rn9knL4Bfes9t3m6eYGpgzDp6qSnXsHQGx9yrMNjfhsTrKtc3D42ULm25QvT9N,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,to HS5GnRmXkeC8j2a6wJVaNhKNEbdrgeQJ1d3JL2x82g8Q,SOL,0.01,0.33
0,Exploiter Transfered 0.01STSOL from 6kDhKM8rDR4DXvwUpao4UA6JtCZfooAgMhicePmUNeJu worth 0.33USD 0 minutes later,Transfered,2022-07-02 00:14:33.000,YeATuiXHc1EJkJFs6eexJ6U8i1R7utU4Lv66o6pSFqPNsRGE7rYiSsjy2ae4RrXu8DnjFBVq4RqrRHecPXK1BDD,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,from 6kDhKM8rDR4DXvwUpao4UA6JtCZfooAgMhicePmUNeJu,STSOL,0.01,0.33
0,Exploiter Transfered 0.01SOL to 6kDhKM8rDR4DXvwUpao4UA6JtCZfooAgMhicePmUNeJu worth 0.33USD 0 minutes later,Transfered,2022-07-02 00:14:33.000,YeATuiXHc1EJkJFs6eexJ6U8i1R7utU4Lv66o6pSFqPNsRGE7rYiSsjy2ae4RrXu8DnjFBVq4RqrRHecPXK1BDD,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,to 6kDhKM8rDR4DXvwUpao4UA6JtCZfooAgMhicePmUNeJu,SOL,0.01,0.33
2,Exploiter Swapped 1SOL to 33.102978USDC worth 32.97USD 2 minutes later,Swapped,2022-07-02 00:16:04.000,31iq3TuevxHqw9iNekMF1FNGCTh1q7UXESmnZ9rpDRdT2JArp8tUDhzKMtKHZJp9Sjvhwk5gSUUCVgWJ9qcNu4FX,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,to 33.102978USDC,SOL,1,32.97
0,Exploiter Transfered 33.1USDC from EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm worth 33.15USD 0 minutes later,Transfered,2022-07-02 00:16:04.000,31iq3TuevxHqw9iNekMF1FNGCTh1q7UXESmnZ9rpDRdT2JArp8tUDhzKMtKHZJp9Sjvhwk5gSUUCVgWJ9qcNu4FX,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,from EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm,USDC,33.1,33.15
0,Exploiter Transfered 1SOL to EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm worth 32.85USD 0 minutes later,Transfered,2022-07-02 00:16:04.000,31iq3TuevxHqw9iNekMF1FNGCTh1q7UXESmnZ9rpDRdT2JArp8tUDhzKMtKHZJp9Sjvhwk5gSUUCVgWJ9qcNu4FX,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,to EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm,SOL,1,32.85
7,Exploiter Transfered 1USDC to HsYb453638e4ZwykZj4PHNwFiXHauV9UuNL3mCmFkZzh worth 1USD 7 minutes later,Transfered,2022-07-02 00:23:27.000,64Myb69NkkAcYZAYhAecUpvipMhCg9dUpKF8YrnSpH5GNxM9dh13C94X2JfsZEhZiJJXrS5r4RqD5AdXEz6BEjGp,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,to HsYb453638e4ZwykZj4PHNwFiXHauV9UuNL3mCmFkZzh,USDC,1,1
0,Exploiter Transfered 1USDT from HsYb453638e4ZwykZj4PHNwFiXHauV9UuNL3mCmFkZzh worth 1USD 0 minutes later,Transfered,2022-07-02 00:23:27.000,64Myb69NkkAcYZAYhAecUpvipMhCg9dUpKF8YrnSpH5GNxM9dh13C94X2JfsZEhZiJJXrS5r4RqD5AdXEz6BEjGp,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,from HsYb453638e4ZwykZj4PHNwFiXHauV9UuNL3mCmFkZzh,USDT,1,1
0,Exploiter Transfered 1USDC to HRWwcA1VZnG9r2k9BHpR3PjbYuK9qUmcqrEWrhc9je5W worth 1USD 0 minutes later,Transfered,2022-07-02 00:23:59.000,4QH3iVGHyddYHMDqVj1p73kNgAeU17JyrNgGbvV2Faq4LJ6skL7a9aCYZYqEXSYhP2DmosVjGyGKMm15T9JstCfc,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,to HRWwcA1VZnG9r2k9BHpR3PjbYuK9qUmcqrEWrhc9je5W,USDC,1,1
