TIMESPAN,TRANSACTION_COUNT
2022-06-05 00:00:00.000,1650606
2022-06-05 01:00:00.000,1750211
2022-06-05 02:00:00.000,1782920
2022-06-05 03:00:00.000,1716525
2022-06-05 04:00:00.000,1780329
2022-06-05 05:00:00.000,1776275
2022-06-05 06:00:00.000,1752810
2022-06-05 07:00:00.000,1713533
2022-06-05 08:00:00.000,1717802
2022-06-05 09:00:00.000,1757045
2022-06-05 10:00:00.000,1718088
2022-06-05 11:00:00.000,1730594
2022-06-05 12:00:00.000,1594035
2022-06-05 13:00:00.000,1583565
2022-06-05 14:00:00.000,1617594
2022-06-05 15:00:00.000,1519546
2022-06-05 16:00:00.000,1493617
2022-06-05 17:00:00.000,1591286
2022-06-05 18:00:00.000,1616215
2022-06-05 19:00:00.000,1665656
2022-06-05 20:00:00.000,1630178
2022-06-05 21:00:00.000,1615319
2022-06-05 22:00:00.000,"null"
2022-06-05 23:00:00.000,"null"
2022-06-06 00:00:00.000,"null"
2022-06-06 01:00:00.000,"null"
2022-06-06 02:00:00.000,850518
2022-06-06 03:00:00.000,1635555
2022-06-06 04:00:00.000,1584420
2022-06-06 05:00:00.000,1641737
2022-06-06 06:00:00.000,1474077
2022-06-06 07:00:00.000,1520782
2022-06-06 08:00:00.000,1582987
2022-06-06 09:00:00.000,1538249
2022-06-06 10:00:00.000,1513246
2022-06-06 11:00:00.000,1537214
2022-06-06 12:00:00.000,1481805
2022-06-06 13:00:00.000,1524403
2022-06-06 14:00:00.000,1531448
2022-06-06 15:00:00.000,1564188
2022-06-06 16:00:00.000,1810668
2022-06-06 17:00:00.000,1860616
2022-06-06 18:00:00.000,1790403
2022-06-06 19:00:00.000,1591383
2022-06-06 20:00:00.000,996640
2022-06-06 21:00:00.000,1540335
2022-06-06 22:00:00.000,1808710
2022-06-06 23:00:00.000,1909383
﻿
