TIMESPAN,TRANSACTION_COUNT
2021-09-14 00:00:00.000,1385792
2021-09-14 01:00:00.000,1326460
2021-09-14 02:00:00.000,1363822
2021-09-14 03:00:00.000,1339100
2021-09-14 04:00:00.000,1340289
2021-09-14 05:00:00.000,1353437
2021-09-14 06:00:00.000,1364664
2021-09-14 07:00:00.000,1391018
2021-09-14 08:00:00.000,1371490
2021-09-14 09:00:00.000,1341766
2021-09-14 10:00:00.000,1258836
2021-09-14 11:00:00.000,1362778
2021-09-14 12:00:00.000,158182
2021-09-14 13:00:00.000,"null"
2021-09-14 14:00:00.000,"null"
2021-09-14 15:00:00.000,"null"
2021-09-14 16:00:00.000,"null"
2021-09-14 17:00:00.000,"null"
2021-09-14 18:00:00.000,"null"
2021-09-14 19:00:00.000,"null"
2021-09-14 20:00:00.000,"null"
2021-09-14 21:00:00.000,"null"
2021-09-14 22:00:00.000,"null"
2021-09-14 23:00:00.000,313584
2021-09-15 00:00:00.000,517596
2021-09-15 01:00:00.000,505436
2021-09-15 02:00:00.000,535734
2021-09-15 03:00:00.000,524389
2021-09-15 04:00:00.000,570227
2021-09-15 05:00:00.000,580883
2021-09-15 06:00:00.000,586556
2021-09-15 07:00:00.000,618713
2021-09-15 08:00:00.000,614760
2021-09-15 09:00:00.000,627784
2021-09-15 10:00:00.000,708912
2021-09-15 11:00:00.000,761205
2021-09-15 12:00:00.000,942012
2021-09-15 13:00:00.000,1112203
2021-09-15 14:00:00.000,1116039
2021-09-15 15:00:00.000,1112773
2021-09-15 16:00:00.000,1598691
2021-09-15 17:00:00.000,1675011
2021-09-15 18:00:00.000,1656903
2021-09-15 19:00:00.000,1644769
2021-09-15 20:00:00.000,1514615
2021-09-15 21:00:00.000,1238448
2021-09-15 22:00:00.000,1328054
2021-09-15 23:00:00.000,1326735
﻿
