TIMESPAN,TRANSACTION_COUNT
2024-02-06 00:00:00.000,4160813
2024-02-06 01:00:00.000,3562265
2024-02-06 02:00:00.000,3390239
2024-02-06 03:00:00.000,3564324
2024-02-06 04:00:00.000,3432222
2024-02-06 05:00:00.000,2862010
2024-02-06 06:00:00.000,2640200
2024-02-06 07:00:00.000,2961921
2024-02-06 08:00:00.000,3031612
2024-02-06 09:00:00.000,2584616
2024-02-06 10:00:00.000,"null"
2024-02-06 11:00:00.000,"null"
2024-02-06 12:00:00.000,"null"
2024-02-06 13:00:00.000,"null"
2024-02-06 14:00:00.000,216530
2024-02-06 15:00:00.000,2410900
2024-02-06 16:00:00.000,2859113
2024-02-06 17:00:00.000,3305806
2024-02-06 18:00:00.000,3365925
2024-02-06 19:00:00.000,3931719
2024-02-06 20:00:00.000,4184748
2024-02-06 21:00:00.000,3883413
2024-02-06 22:00:00.000,3861709
2024-02-06 23:00:00.000,4207130
2024-02-07 00:00:00.000,4250049
2024-02-07 01:00:00.000,3684501
2024-02-07 02:00:00.000,3487460
2024-02-07 03:00:00.000,3319345
2024-02-07 04:00:00.000,3388685
2024-02-07 05:00:00.000,3642038
2024-02-07 06:00:00.000,3332607
2024-02-07 07:00:00.000,3247735
2024-02-07 08:00:00.000,3084433
2024-02-07 09:00:00.000,3192480
2024-02-07 10:00:00.000,3101697
2024-02-07 11:00:00.000,3254866
2024-02-07 12:00:00.000,3555457
2024-02-07 13:00:00.000,3892804
2024-02-07 14:00:00.000,3501095
2024-02-07 15:00:00.000,3311970
2024-02-07 16:00:00.000,3456485
2024-02-07 17:00:00.000,3455635
2024-02-07 18:00:00.000,3849548
2024-02-07 19:00:00.000,3925938
2024-02-07 20:00:00.000,3385687
2024-02-07 21:00:00.000,3154383
2024-02-07 22:00:00.000,3482494
2024-02-07 23:00:00.000,3578791
﻿
