TIMESPAN,TRANSACTION_COUNT
2023-02-24 00:00:00.000,1615772
2023-02-24 01:00:00.000,1637676
2023-02-24 02:00:00.000,1516818
2023-02-24 03:00:00.000,1466920
2023-02-24 04:00:00.000,1421779
2023-02-24 05:00:00.000,1416950
2023-02-24 06:00:00.000,1430252
2023-02-24 07:00:00.000,1410838
2023-02-24 08:00:00.000,1410161
2023-02-24 09:00:00.000,1415557
2023-02-24 10:00:00.000,1555373
2023-02-24 11:00:00.000,1480497
2023-02-24 12:00:00.000,1523565
2023-02-24 13:00:00.000,1455251
2023-02-24 14:00:00.000,1517022
2023-02-24 15:00:00.000,1663130
2023-02-24 16:00:00.000,1814994
2023-02-24 17:00:00.000,1963581
2023-02-24 18:00:00.000,2039304
2023-02-24 19:00:00.000,1891682
2023-02-24 20:00:00.000,1830422
2023-02-24 21:00:00.000,1809484
2023-02-24 22:00:00.000,1657210
2023-02-24 23:00:00.000,1670895
2023-02-25 00:00:00.000,1734324
2023-02-25 01:00:00.000,1552663
2023-02-25 02:00:00.000,1430723
2023-02-25 03:00:00.000,1386280
2023-02-25 04:00:00.000,1314943
2023-02-25 05:00:00.000,1112682
2023-02-25 06:00:00.000,"null"
2023-02-25 07:00:00.000,"null"
2023-02-25 08:00:00.000,"null"
2023-02-25 09:00:00.000,"null"
2023-02-25 10:00:00.000,"null"
2023-02-25 11:00:00.000,"null"
2023-02-25 12:00:00.000,"null"
2023-02-25 13:00:00.000,"null"
2023-02-25 14:00:00.000,"null"
2023-02-25 15:00:00.000,"null"
2023-02-25 16:00:00.000,"null"
2023-02-25 17:00:00.000,"null"
2023-02-25 18:00:00.000,"null"
2023-02-25 19:00:00.000,"null"
2023-02-25 20:00:00.000,"null"
2023-02-25 21:00:00.000,"null"
2023-02-25 22:00:00.000,"null"
2023-02-25 23:00:00.000,"null"
2023-02-26 00:00:00.000,"null"
2023-02-26 01:00:00.000,866862
2023-02-26 02:00:00.000,1375255
2023-02-26 03:00:00.000,1089348
2023-02-26 04:00:00.000,901817
2023-02-26 05:00:00.000,969898
2023-02-26 06:00:00.000,1057968
2023-02-26 07:00:00.000,1103608
2023-02-26 08:00:00.000,1049356
2023-02-26 09:00:00.000,1198529
2023-02-26 10:00:00.000,1159804
2023-02-26 11:00:00.000,1230825
2023-02-26 12:00:00.000,1302627
2023-02-26 13:00:00.000,1307285
2023-02-26 14:00:00.000,1362685
2023-02-26 15:00:00.000,1265319
2023-02-26 16:00:00.000,1274040
2023-02-26 17:00:00.000,1295077
2023-02-26 18:00:00.000,1430684
2023-02-26 19:00:00.000,1337325
2023-02-26 20:00:00.000,1320215
2023-02-26 21:00:00.000,1223578
2023-02-26 22:00:00.000,1135785
2023-02-26 23:00:00.000,1258739
﻿
