BLOCK_TIMESTAMP,TX_ID,SWAPPER,ROUTE,AMOUNT,AMOUNT_USD,SWAP_PROGRAM
2022-10-11 22:34:26.000,3SZpH1FNCVXk5J19fMHjfHmAhht9korcxkBK2RmtQk47ykmJiKFqTbAfHxcWLpaE7kam4qFT6N8LQMT3yu6Bs5XX,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,35000,2737.87,Raydium Liquidity Pool V4
2022-10-11 22:26:30.000,5o2wku1u3FYwjbAvVuCyWcN6rknLZSs4wjfA1ocuoVMWnqcRkuDMuU8RzZWh6DkDnZ5fKrVw2k4HK9zWiv1HE1Km,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,80000,22930.04,Raydium Liquidity Pool V4
2022-10-11 22:33:50.000,41xXAzThndQWNAiG4va89gJ48mZ7Tp4u4qJwSxYQSPe4WJWgCSNCd2MpT2KBwnmR1NW1fznRQcVCY6c1ozxZuD3f,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,30000,3258.23,Raydium Liquidity Pool V4
2022-10-11 22:33:20.000,3Jt8i61s4wp9iSgcCmNsRqyBZ2BmuMmytxSiHt5WTVo8diFKfZw8No3hHai8FhS8VB1EV4VFTxjhHsZevex4tL1S,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,50000,8166.65,Raydium Liquidity Pool V4
2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,95000,11638.32,Raydium Liquidity Pool V4
2022-10-11 22:36:54.000,JKbi7VQnPrdX4qxhLhWfTSNba6hRbPxMKx5Eae4nzKDX8k1BmhxKCkQAzfoo9h8psjT5fSiCxGPe5Hs4g7q7h7Q,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,45000,4184.67,Raydium Liquidity Pool V4
2022-10-11 22:44:14.000,5cLHTmJtA4pPCGbDqYMhSjqPFFMtvnXgNBym2FzuhvS4UY8tbjJzxGQqJrVDJAy6nSTEGxGy8bJbZmwp6MKu3pvZ,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,50000,4657.45,Raydium Liquidity Pool V4
2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,45000,5408.65,Raydium Liquidity Pool V4
2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,70000,5622.24,Raydium Liquidity Pool V4
2022-10-11 22:38:15.000,5ovjckXVpLkEC3FdafUpuLiWSKqPkWG5SZ74JrUbZw86vpwgajiJNJjCVHcbAtNkq2BUbdTjwNj4BEQA7vRnYxLH,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDC->MNGO,42500,4363.99,Raydium Liquidity Pool V4
2022-10-11 22:49:14.000,3pP3rKQG4isNs4ctjs7CDon9a8EK6xHQAp4gMJt9tVvUsbG3r4hSsF3X773gJiFTcJdU149hUpSdwqjPUUHWSPJb,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,MNGO->USDC,2500000,26427.6,Raydium Liquidity Pool V4
2022-10-11 23:12:30.000,65owV83wTQRZuT5VhYST4ZPbcmXNVkiqbougwWfKV9YNBGtuvZLqTEQhmeaEbXqqhVC6CgqwzPqqtde7RBFfgd25,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,USDT->USDC,3266426,3262384.22,Saber Router
﻿
