TIMESPAN,AMOUNT_USD
2022-10-11 19:36:47.000,24847.85
2022-10-11 19:43:03.000,2000776.76
2022-10-11 19:50:31.000,3501359.33
2022-10-11 22:26:30.000,0.14
2022-10-11 22:26:30.000,23313
2022-10-11 22:26:30.000,55188.54
2022-10-11 22:29:44.000,50019419.07
2022-10-11 22:33:20.000,8303.04
2022-10-11 22:33:50.000,0.16
2022-10-11 22:33:50.000,1605.04
2022-10-11 22:33:50.000,3312.64
2022-10-11 22:34:26.000,0.2
2022-10-11 22:34:26.000,2783.59
2022-10-11 22:34:26.000,1166.59
2022-10-11 22:36:54.000,394.2
2022-10-11 22:36:54.000,4254.56
2022-10-11 22:36:54.000,0
2022-10-11 22:37:38.000,26856969.26
2022-10-11 22:37:53.000,5245658.35
2022-10-11 22:38:15.000,1072.5
2022-10-11 22:38:15.000,0.03
2022-10-11 22:38:15.000,4436.87
2022-10-11 22:38:56.000,0
2022-10-11 22:38:56.000,5498.98
2022-10-11 22:38:56.000,985.5
2022-10-11 22:40:21.000,0.37
2022-10-11 22:40:21.000,5716.14
2022-10-11 22:40:21.000,2420.33
2022-10-11 22:41:12.000,2808811.47
2022-10-11 22:41:30.000,3268099.03
2022-10-11 22:43:32.000,11832.7
2022-10-11 22:43:32.000,227.47
2022-10-11 22:43:32.000,0.24
2022-10-11 22:44:14.000,4735.23
2022-10-11 22:45:01.000,1755742.39
2022-10-11 22:45:16.000,1278096.85
2022-10-11 22:49:03.000,0
2022-10-11 22:49:03.000,362801.72
2022-10-11 22:49:14.000,232940.15
2022-10-11 22:49:14.000,26428.34
2022-10-11 22:49:14.000,0
2022-10-11 23:01:24.000,1049992.13
2022-10-11 23:03:28.000,670980.31
2022-10-11 23:04:05.000,286466.9
2022-10-11 23:04:16.000,275436.19
2022-10-11 23:04:36.000,51144.21
2022-10-11 23:04:51.000,38871.93
2022-10-11 23:05:14.000,29235.32
2022-10-11 23:05:59.000,7040.33
2022-10-11 23:06:12.000,2651.03
2022-10-11 23:06:27.000,97006.13
2022-10-11 23:06:42.000,161335.24
2022-10-11 23:12:30.000,3264413.47
2022-10-15 16:02:56.000,838995.86
﻿
