EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
Transfered,2022-07-28 05:16:02.000,5yF3VH82Wa3TC4zxdzxmEq4jL3EvSPovHVLG3XASzjHNpiyeSt1t2FF6WrHN94hBJc4AAHb3sUWgsAsupSRuszF7,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,inbound,USDC,3490861.06,3494417.24
Transfered,2022-07-28 00:51:10.000,2z8ckh8gDLhCPwukZSZ5s9Q2ZtxVUVNYxdZ2nMPLm6cgGdm9twcYPKWfzUM2gn7fAccyYavDjuSNjX1D6JvMk3T7,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,1,1
Transfered,2022-07-28 05:28:07.000,2FMFn9u9Ca4aYo9mosMUG2x93myAy9qdzwagCBZDFdZNqBKVpmBz3Lu5VFjoXdYkBupzqd3w4Hy4ABL21u67tfrP,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,990.21,991.22
Transfered,2022-07-28 05:16:02.000,5yF3VH82Wa3TC4zxdzxmEq4jL3EvSPovHVLG3XASzjHNpiyeSt1t2FF6WrHN94hBJc4AAHb3sUWgsAsupSRuszF7,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,3490861.06,3494417.24
Transfered,2022-07-28 05:27:36.000,ffzCcTA8aUv9YEnrhMfpmipdVp8VqHxJGHTGqdLvbRUdDsV29TaHXjDx8Dpj6BBQMyVbMoe32cT3YBzeDQwUTuZ,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,1714.64,1716.39
Transfered,2022-07-28 05:16:18.000,23Rh6yLNy5JTDgWLWawPMWLtj5L1nbMsgB7AyYg3cKw9yfvmUHuWGDUiiuqgf4PrzCwi9gM2F9RFvv3VvVyLq3W1,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,3285.4,3288.75
Transfered,2022-07-28 05:11:56.000,LyUnvdY9KBQiVRFqmSzGUfCuPGqYX1xNHCWLWxWZ4MvgLcNis2Kui6T25Ayai5UzpTAFkSRSgriKb3pM8tAoeR5,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,10250000,10260441.8
Transfered,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,inbound,USDC,1.19,1.19
Transfered,2022-07-28 05:27:56.000,2pK4CYf45WUaa1HLcrAxxzqggXtkgBqHeSGhfKpWJRbgimiXf43ETF2ghNyHWdiiX4Pqm7A5Ny8odAXL98y81Hac,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,1196.57,1197.78
Transfered,2022-07-28 05:16:37.000,MDCa95iRsNnvD7qCTCHeWwz7impX6j9V27DVPNLVZAcpEiJcrzniVyw2Gvpeq4jDDY5zqdfj6ksdb5VUKCQsW8x,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,33985.12,34019.74
Transfered,2022-07-28 05:27:27.000,5G3RyMKj1159REFtUBJwY3AbNR9YktjwhEhcNBLLzk3gstwWS84t3FfB1vpKDdPefrZBNB7N1s8j2paC6L6pVgNZ,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,2209.08,2211.33
Transfered,2022-07-28 05:11:56.000,LyUnvdY9KBQiVRFqmSzGUfCuPGqYX1xNHCWLWxWZ4MvgLcNis2Kui6T25Ayai5UzpTAFkSRSgriKb3pM8tAoeR5,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,inbound,USDC,10250000,10260441.8
Transfered,2022-07-28 05:11:56.000,LyUnvdY9KBQiVRFqmSzGUfCuPGqYX1xNHCWLWxWZ4MvgLcNis2Kui6T25Ayai5UzpTAFkSRSgriKb3pM8tAoeR5,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,10280750,10291223.12
Transfered,2022-07-28 05:11:56.000,LyUnvdY9KBQiVRFqmSzGUfCuPGqYX1xNHCWLWxWZ4MvgLcNis2Kui6T25Ayai5UzpTAFkSRSgriKb3pM8tAoeR5,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,inbound,USDC,6150,6156.27
Transfered,2022-07-28 05:26:57.000,5TJ3AVt9YiJnyjZLYoCfkeVa6yjR1YNqionAPPVKJYXAZp8QTUviNvurRKmBjjBdCRFKpSi7QNSVew29xt2frKGn,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,outbound,USDC,5448.81,5454.36
Transfered,2022-07-28 05:26:57.000,5TJ3AVt9YiJnyjZLYoCfkeVa6yjR1YNqionAPPVKJYXAZp8QTUviNvurRKmBjjBdCRFKpSi7QNSVew29xt2frKGn,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,inbound,USDC,5448.81,5454.36
