TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 0.03INF to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 1.22USD 0 minutes later,Transfered,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,INF,0.03,1.22
0,Exploiter Transfered 0.03INF from DxD41srN8Xk9QfYjdNXF9tTnP6qQxeF2bZF8s1eN62Pe worth 1.22USD 0 minutes later,Transfered,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,from DxD41srN8Xk9QfYjdNXF9tTnP6qQxeF2bZF8s1eN62Pe,INF,0.03,1.22
0,Exploiter Transfered 1.19USDC from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 1.19USD 0 minutes later,Transfered,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,USDC,1.19,1.19
0,Exploiter Swapped 0.03SOL to 1.188474USDC worth 1.19USD 0 minutes later,Swapped,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to 1.188474USDC,SOL,0.03,1.19
0,Exploiter Swapped 0.03INF to 1.188474USDC worth 1.19USD 0 minutes later,Swapped,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to 1.188474USDC,INF,0.03,1.19
0,Exploiter Transfered 0.03SOL to DxD41srN8Xk9QfYjdNXF9tTnP6qQxeF2bZF8s1eN62Pe worth 1.22USD 0 minutes later,Transfered,2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to DxD41srN8Xk9QfYjdNXF9tTnP6qQxeF2bZF8s1eN62Pe,SOL,0.03,1.22
0,Exploiter Transfered 1.19USDT from 2dc3UgMuVkASzW4sABDjDB5PjFbPTncyECUnZL73bmQR worth 1.19USD 0 minutes later,Transfered,2022-07-28 00:49:53.000,4svojLrBvAFEX7VCnAqadmEwRWvqFi4JRqsufJ7cR8AfchGfdhqCN8w83sjjm2twAQ3VBMjkatsL9fAnUYnqzGxs,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,from 2dc3UgMuVkASzW4sABDjDB5PjFbPTncyECUnZL73bmQR,USDT,1.19,1.19
0,Exploiter Transfered 1.19USDC to 2dc3UgMuVkASzW4sABDjDB5PjFbPTncyECUnZL73bmQR worth 1.19USD 0 minutes later,Transfered,2022-07-28 00:49:53.000,4svojLrBvAFEX7VCnAqadmEwRWvqFi4JRqsufJ7cR8AfchGfdhqCN8w83sjjm2twAQ3VBMjkatsL9fAnUYnqzGxs,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to 2dc3UgMuVkASzW4sABDjDB5PjFbPTncyECUnZL73bmQR,USDC,1.19,1.19
0,Exploiter Swapped 0.03SOL to 1.188936USDT worth 1.19USD 0 minutes later,Swapped,2022-07-28 00:49:53.000,4svojLrBvAFEX7VCnAqadmEwRWvqFi4JRqsufJ7cR8AfchGfdhqCN8w83sjjm2twAQ3VBMjkatsL9fAnUYnqzGxs,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to 1.188936USDT,SOL,0.03,1.19
0,Exploiter Transfered 1.19USDC from EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm worth 1.19USD 0 minutes later,Transfered,2022-07-28 00:49:53.000,4svojLrBvAFEX7VCnAqadmEwRWvqFi4JRqsufJ7cR8AfchGfdhqCN8w83sjjm2twAQ3VBMjkatsL9fAnUYnqzGxs,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,from EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm,USDC,1.19,1.19
0,Exploiter Transfered 0.03SOL to EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm worth 1.22USD 0 minutes later,Transfered,2022-07-28 00:49:53.000,4svojLrBvAFEX7VCnAqadmEwRWvqFi4JRqsufJ7cR8AfchGfdhqCN8w83sjjm2twAQ3VBMjkatsL9fAnUYnqzGxs,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,to EqLZKF1bwUWUzU5F21jDQMoK4HRx8wQpLt57jhP8LbKm,SOL,0.03,1.22
