TIMESPAN,LABELS,VICTIMS,AMOUNT_USD
2022-08-02 22:00:00.000,Hacker_Wallet_1,271,1762817.09
2022-08-02 22:00:00.000,Hacker_Wallet_4,150,36150.42
2022-08-02 22:00:00.000,Hacker_Wallet_2,376,367988.08
2022-08-02 22:00:00.000,Hacker_Wallet_3,330,1340681.45
2022-08-02 23:00:00.000,Hacker_Wallet_4,1550,124356.59
2022-08-02 23:00:00.000,Hacker_Wallet_2,2108,1793038.01
2022-08-02 23:00:00.000,Hacker_Wallet_3,224,32727.3
2022-08-02 23:00:00.000,Hacker_Wallet_1,306,1959214.19
2022-08-03 00:00:00.000,Hacker_Wallet_4,1720,70573.08
2022-08-03 00:00:00.000,Hacker_Wallet_1,29,67485.91
2022-08-03 00:00:00.000,Hacker_Wallet_2,27,212.9
2022-08-03 00:00:00.000,Hacker_Wallet_3,2,66926.4
2022-08-03 01:00:00.000,Hacker_Wallet_4,1995,43379.41
2022-08-03 01:00:00.000,Hacker_Wallet_2,55,6482.95
2022-08-03 02:00:00.000,Hacker_Wallet_2,35,3766.4
2022-08-03 02:00:00.000,Hacker_Wallet_4,1413,15611.11
2022-08-03 02:00:00.000,Hacker_Wallet_1,1,0
2022-08-03 02:00:00.000,Hacker_Wallet_3,1988,12289.96
2022-08-03 03:00:00.000,Hacker_Wallet_2,1,0.04
2022-08-03 03:00:00.000,Hacker_Wallet_1,2,0.41
2022-08-03 03:00:00.000,Hacker_Wallet_4,1,0
2022-08-03 03:00:00.000,Hacker_Wallet_3,1948,1186.37
2022-08-03 04:00:00.000,Hacker_Wallet_3,990,485.28
2022-08-03 05:00:00.000,Hacker_Wallet_2,1,0
2022-08-03 07:00:00.000,Hacker_Wallet_2,1,0
2022-08-03 07:00:00.000,Hacker_Wallet_1,2,0.51
2022-08-03 07:00:00.000,Hacker_Wallet_3,1,0
2022-08-03 07:00:00.000,Hacker_Wallet_4,2,0.05
2022-08-03 08:00:00.000,Hacker_Wallet_2,1,7.85
2022-08-03 10:00:00.000,Hacker_Wallet_4,1,6.15
2022-08-03 10:00:00.000,Hacker_Wallet_3,1,6.15
2022-08-03 10:00:00.000,Hacker_Wallet_2,2,46.64
2022-08-03 10:00:00.000,Hacker_Wallet_1,2,194.38
2022-08-03 11:00:00.000,Hacker_Wallet_1,1,0.2
2022-08-03 15:00:00.000,Hacker_Wallet_2,1,51.41
2022-08-03 20:00:00.000,Hacker_Wallet_3,1,0.01
2022-08-06 02:00:00.000,Hacker_Wallet_3,1,0
2022-08-07 17:00:00.000,Hacker_Wallet_4,1,3.05
2022-08-07 17:00:00.000,Hacker_Wallet_3,1,0.31
2022-08-09 02:00:00.000,Hacker_Wallet_2,1,11.85
