TIMESPAN,LABELS,VICTIMS,AMOUNT_USD
2023-02-23 17:00:00.000,Hacker_Wallet_4,1,22.25
2023-03-02 18:00:00.000,Hacker_Wallet_4,1,45108.32
2023-03-03 07:00:00.000,Hacker_Wallet_4,1,3169.38
2023-03-04 18:00:00.000,Hacker_Wallet_4,1,89843.54
2023-03-09 06:00:00.000,Hacker_Wallet_2,1,60041.32
2023-03-09 15:00:00.000,Hacker_Wallet_2,1,60044.33
2023-03-11 06:00:00.000,Hacker_Wallet_2,1,95660.13
2023-03-29 14:00:00.000,Hacker_Wallet_2,1,35283.34
2023-03-29 15:00:00.000,Hacker_Wallet_2,1,14562.72
2023-03-29 16:00:00.000,Hacker_Wallet_2,1,11967.67
2023-08-22 18:00:00.000,Hacker_Wallet_4,1,2725.72
2023-08-22 19:00:00.000,Hacker_Wallet_3,1,56446.84
2023-08-22 19:00:00.000,Hacker_Wallet_2,1,268700.29
2023-08-22 19:00:00.000,Hacker_Wallet_4,1,315.05
2023-08-23 13:00:00.000,Hacker_Wallet_1,1,169152.6
2024-03-07 01:00:00.000,Hacker_Wallet_4,1,45446.54
2024-03-07 05:00:00.000,Hacker_Wallet_2,1,27460.93
2024-03-07 05:00:00.000,Hacker_Wallet_3,1,9875.68
2024-03-14 13:00:00.000,Hacker_Wallet_2,1,24042.68
2024-03-14 13:00:00.000,Hacker_Wallet_1,1,33285.51
2024-03-14 14:00:00.000,Hacker_Wallet_1,1,21057.09
2024-05-20 07:00:00.000,Hacker_Wallet_1,1,100022.53
2024-06-06 10:00:00.000,Hacker_Wallet_1,1,9999.26
2024-06-12 10:00:00.000,Hacker_Wallet_1,1,10003.34
2024-06-12 12:00:00.000,Hacker_Wallet_1,1,100033.35
2024-06-18 14:00:00.000,Hacker_Wallet_1,1,19993.83
2024-08-16 17:00:00.000,Hacker_Wallet_1,1,79989.25
2024-11-21 16:00:00.000,Hacker_Wallet_1,1,19712.18
2024-11-21 17:00:00.000,Hacker_Wallet_4,1,1051.57
2024-11-21 17:00:00.000,Hacker_Wallet_3,1,90368.48
2024-11-21 18:00:00.000,Hacker_Wallet_3,1,7779.9
2024-11-22 13:00:00.000,Hacker_Wallet_1,1,257287.09
2024-11-22 14:00:00.000,Hacker_Wallet_3,1,1801.01
2024-11-22 14:00:00.000,Hacker_Wallet_4,1,1543.72
2024-12-03 16:00:00.000,Hacker_Wallet_1,1,210037.48
2024-12-19 18:00:00.000,Hacker_Wallet_1,1,199937.38
﻿
