TIME_GAP,LABELS,NARRATION,BLOCK_TIMESTAMP
0,Hacker_Wallet_1,Exploiter Transfered 0.1SOL from HYaQcKPcWgLe7gpA99EUbDSGuzJCupNVCRXmXP37xYXv worth 4.09USD 0 minutes later,2022-08-02 22:37:10.000
0,Hacker_Wallet_2,Exploiter Transfered 0.1SOL from HYaQcKPcWgLe7gpA99EUbDSGuzJCupNVCRXmXP37xYXv worth 4.09USD 0 minutes later,2022-08-02 22:37:32.000
1,Hacker_Wallet_3,Exploiter Transfered 0.1SOL from HYaQcKPcWgLe7gpA99EUbDSGuzJCupNVCRXmXP37xYXv worth 4.09USD 1 minutes later,2022-08-02 22:38:08.000
0,Hacker_Wallet_4,Exploiter Transfered 0.1SOL from HYaQcKPcWgLe7gpA99EUbDSGuzJCupNVCRXmXP37xYXv worth 4.09USD 0 minutes later,2022-08-02 22:38:34.000
1,Hacker_Wallet_1,Exploiter Transfered 393786.23USDC from 7DBK3Mz1MxrTXVVwfJBk9aDQ9Wc5nwG3qa3K8rqeoaHX worth 394047.35USD 1 minutes later,2022-08-02 22:39:38.000
1,Hacker_Wallet_1,Exploiter Transfered 92691.74USDT from 7DBK3Mz1MxrTXVVwfJBk9aDQ9Wc5nwG3qa3K8rqeoaHX worth 92814.44USD 1 minutes later,2022-08-02 22:40:14.000
1,Hacker_Wallet_1,Exploiter Transfered 120SOL from 7DBK3Mz1MxrTXVVwfJBk9aDQ9Wc5nwG3qa3K8rqeoaHX worth 4905.97USD 1 minutes later,2022-08-02 22:41:00.000
0,Hacker_Wallet_1,Exploiter Transfered 208322.61USDC from Exi964mWHtpazeVMo4nuEjeYzxRzo1ANt5yyREXvBRFc worth 208460.75USD 0 minutes later,2022-08-02 22:41:37.000
1,Hacker_Wallet_1,Exploiter Transfered 1004SOL from Exi964mWHtpazeVMo4nuEjeYzxRzo1ANt5yyREXvBRFc worth 41046.59USD 1 minutes later,2022-08-02 22:42:00.000
0,Hacker_Wallet_1,Exploiter Transfered 125022.2USDC from AGtNQ48W5onM3HGfcnwNwbz9xqQwZNbt76vAnX13Wm8b worth 125105.1USD 0 minutes later,2022-08-02 22:42:35.000
1,Hacker_Wallet_1,Exploiter Transfered 95953.61USDC from BbKBQygTo1z453ATthSssKM5kq3Pzhmd5Sgn5NDyYgZ5 worth 96017.24USD 1 minutes later,2022-08-02 22:43:10.000
4,Hacker_Wallet_1,Exploiter Transfered 2522.79USDC from 6hiGHEcJamzuZsPaTfmJFokDSxXB9XtdipF7yMvwEk7E worth 2524.46USD 4 minutes later,2022-08-02 22:47:40.000
0,Hacker_Wallet_1,Exploiter Transfered 7420.67USDC from BYPm4wVvq7cGE2PyVtm8MmERVLtxsUrVta8mNohf5cXj worth 7425.59USD 0 minutes later,2022-08-02 22:47:40.000
0,Hacker_Wallet_1,Exploiter Transfered 165.76SOL from DaKDUxcwcGFrjcCjc2Z77j8TnU5ezDpMemQjcvQU9rrN worth 6776.65USD 0 minutes later,2022-08-02 22:47:42.000
0,Hacker_Wallet_1,Exploiter Transfered 164.96SOL from GFLgBqMNi78LVA9jfgQdfZvgF6NgrX1cqA5R4wFLYLkr worth 6744.16USD 0 minutes later,2022-08-02 22:47:44.000
0,Hacker_Wallet_1,Exploiter Transfered 160.36SOL from HbK5MCazypewZmCKrLe59vpWcRnV3UwEc6ffqrGNeCPM worth 6556.18USD 0 minutes later,2022-08-02 22:47:44.000
0,Hacker_Wallet_1,Exploiter Transfered 6883.58USDC from BvnYLsNPVE2be8d4AM5STrUnwJA5gRpn91pSnVdN7XWj worth 6888.14USD 0 minutes later,2022-08-02 22:47:48.000
0,Hacker_Wallet_1,Exploiter Transfered 37.96SOL from BvnYLsNPVE2be8d4AM5STrUnwJA5gRpn91pSnVdN7XWj worth 1551.83USD 0 minutes later,2022-08-02 22:47:49.000
0,Hacker_Wallet_1,Exploiter Transfered 6872.31USDC from 3FQRVStHdvFpDNrnC6JYDfgK21vDJhT5KoMBTuv7EjPj worth 6876.87USD 0 minutes later,2022-08-02 22:47:50.000
0,Hacker_Wallet_1,Exploiter Transfered 152.13SOL from j4hR1nw27ScBZ6CzRECFxvnNxc2YrbrM2AMnRFEgsTk worth 6219.72USD 0 minutes later,2022-08-02 22:47:52.000
0,Hacker_Wallet_1,Exploiter Transfered 6768.11USDC from 7XnbDYCiAG6NaWfu81386HUZ9hFk399bPw49iAiTetD worth 6772.59USD 0 minutes later,2022-08-02 22:47:53.000
0,Hacker_Wallet_1,Exploiter Transfered 6746.18USDC from 2JZ88JfdAGXLT4RQSUrgyS4r3sJnza85rWHSGKvsPe9N worth 6750.65USD 0 minutes later,2022-08-02 22:47:54.000
0,Hacker_Wallet_1,Exploiter Transfered 28.41SOL from 2JZ88JfdAGXLT4RQSUrgyS4r3sJnza85rWHSGKvsPe9N worth 1161.3USD 0 minutes later,2022-08-02 22:47:54.000
