DAY_NAME,MONTH_NAME,YEARS,INCIDENCE,LOSS_USD
Wed,Jan,2025,0,"null"
Thu,Sep,2024,0,"null"
Fri,May,2024,0,"null"
Thu,Nov,2024,0,"null"
Sun,Jun,2024,0,"null"
Wed,Oct,2024,0,"null"
Fri,Nov,2024,0,"null"
Thu,Dec,2024,0,"null"
Wed,Apr,2024,0,"null"
Wed,Feb,2024,0,"null"
Thu,Mar,2024,0,"null"
Wed,Dec,2024,0,"null"
Mon,Jun,2024,0,"null"
Mon,Aug,2024,0,"null"
Thu,Jun,2024,0,"null"
Sun,Oct,2024,0,"null"
Sat,Mar,2024,0,"null"
Tue,Apr,2024,0,"null"
Wed,Mar,2024,0,"null"
Mon,Feb,2024,0,"null"
Tue,Jan,2024,0,"null"
Wed,Aug,2024,0,"null"
Sun,Apr,2024,0,"null"
Fri,Feb,2024,0,"null"
Tue,Nov,2024,0,"null"
Sun,Feb,2024,0,"null"
Fri,Dec,2024,0,"null"
Tue,May,2024,0,"null"
Sat,Oct,2024,0,"null"
Mon,Jul,2024,0,"null"
Mon,Mar,2024,0,"null"
Sat,Nov,2024,1,30000000
Fri,Jan,2024,0,"null"
Tue,Dec,2024,0,"null"
Tue,Jul,2024,0,"null"
Sun,May,2024,0,"null"
Fri,Aug,2024,0,"null"
Tue,Oct,2024,0,"null"
Tue,Feb,2024,0,"null"
Thu,Jan,2024,0,"null"
Wed,May,2024,1,2000000
Sat,Feb,2024,0,"null"
Sat,Aug,2024,0,"null"
Mon,Nov,2024,0,"null"
Sun,Jan,2024,0,"null"
Thu,Apr,2024,0,"null"
Wed,Jul,2024,0,"null"
Sat,Dec,2024,0,"null"
Sat,Jan,2024,0,"null"
Tue,Sep,2024,0,"null"
Tue,Mar,2024,0,"null"
Sat,Apr,2024,0,"null"
Wed,Jun,2024,0,"null"
Fri,Jul,2024,0,"null"
Mon,Dec,2024,1,160000
Mon,Apr,2024,0,"null"
Sun,Sep,2024,0,"null"
Fri,Sep,2024,0,"null"
Sat,May,2024,0,"null"
Mon,Sep,2024,0,"null"
Tue,Jun,2024,0,"null"
Thu,Aug,2024,0,"null"
Thu,May,2024,0,"null"
Mon,Jan,2024,0,"null"
Sun,Mar,2024,0,"null"
Mon,May,2024,0,"null"
Thu,Jul,2024,0,"null"
Fri,Mar,2024,0,"null"
Sun,Dec,2024,0,"null"
Sat,Jul,2024,0,"null"
Mon,Oct,2024,0,"null"
Sat,Sep,2024,0,"null"
Sun,Jul,2024,0,"null"
Fri,Apr,2024,1,5800000
Wed,Jan,2024,0,"null"
Sat,Jun,2024,1,"null"
Fri,Oct,2024,0,"null"
Sun,Aug,2024,0,"null"
Tue,Aug,2024,0,"null"
Fri,Jun,2024,0,"null"
Thu,Oct,2024,0,"null"
Wed,Nov,2024,0,"null"
Sun,Nov,2024,0,"null"
Thu,Feb,2024,1,"null"
Wed,Sep,2024,0,"null"
Tue,Jun,2023,0,"null"
Mon,Apr,2023,0,"null"
Sat,Jun,2023,0,"null"
Fri,Oct,2023,0,"null"
Fri,Feb,2023,0,"null"
Fri,Nov,2023,0,"null"
Tue,Feb,2023,0,"null"
Thu,Jul,2023,0,"null"
Wed,Feb,2023,1,"null"
Mon,Feb,2023,0,"null"
Mon,Jul,2023,0,"null"
Mon,Aug,2023,0,"null"
Sat,Feb,2023,0,"null"
Wed,Jun,2023,0,"null"
Wed,Aug,2023,0,"null"
Fri,Jan,2023,0,"null"
Sat,Jul,2023,0,"null"
Thu,Dec,2023,0,"null"
Wed,May,2023,0,"null"
Thu,Apr,2023,0,"null"
Tue,Jul,2023,0,"null"
Fri,Jul,2023,0,"null"
Thu,Jan,2023,0,"null"
Sun,Apr,2023,0,"null"
Sun,Sep,2023,0,"null"
Fri,Sep,2023,0,"null"
Wed,Apr,2023,0,"null"
Tue,Aug,2023,1,"null"
Sun,May,2023,0,"null"
Sat,Apr,2023,1,"null"
Sat,Nov,2023,0,"null"
Sat,Dec,2023,0,"null"
Sat,Jan,2023,0,"null"
Sun,Oct,2023,0,"null"
Mon,May,2023,0,"null"
Thu,Jun,2023,0,"null"
Mon,Dec,2023,0,"null"
Thu,Mar,2023,0,"null"
Sun,Mar,2023,0,"null"
Sat,Sep,2023,0,"null"
Wed,Mar,2023,0,"null"
Wed,Oct,2023,0,"null"
Fri,May,2023,0,"null"
Thu,Oct,2023,0,"null"
Sun,Jan,2023,0,"null"
Thu,Sep,2023,0,"null"
Sun,Jul,2023,0,"null"
Fri,Apr,2023,0,"null"
Sat,Mar,2023,0,"null"
Sun,Feb,2023,0,"null"
Sat,Aug,2023,0,"null"
Wed,Dec,2023,0,"null"
Wed,Jan,2023,0,"null"
Sun,Aug,2023,0,"null"
Mon,Jun,2023,0,"null"
Tue,Apr,2023,0,"null"
Fri,Jun,2023,0,"null"
Fri,Dec,2023,0,"null"
Wed,Jul,2023,0,"null"
Thu,Nov,2023,0,"null"
Sun,Jun,2023,0,"null"
Sat,Oct,2023,0,"null"
Sat,May,2023,0,"null"
Sun,Nov,2023,0,"null"
Mon,Sep,2023,0,"null"
Tue,Nov,2023,0,"null"
Thu,Aug,2023,0,"null"
Thu,Feb,2023,1,"null"
Thu,May,2023,0,"null"
Tue,Sep,2023,0,"null"
Mon,Nov,2023,0,"null"
Tue,Mar,2023,0,"null"
Wed,Sep,2023,0,"null"
Tue,Jan,2023,0,"null"
Tue,Oct,2023,0,"null"
Tue,Dec,2023,0,"null"
Tue,May,2023,0,"null"
Wed,Nov,2023,0,"null"
Sun,Dec,2023,0,"null"
Mon,Oct,2023,0,"null"
Mon,Jan,2023,0,"null"
Mon,Mar,2023,0,"null"
Fri,Mar,2023,0,"null"
Fri,Aug,2023,0,"null"
Sat,Dec,2022,0,"null"
Sat,Jul,2022,1,8000000
Fri,Nov,2022,0,"null"
Mon,Dec,2022,0,"null"
Wed,Nov,2022,1,1260000
Wed,Jan,2022,0,"null"
Fri,May,2022,0,"null"
Mon,May,2022,0,"null"
Tue,Aug,2022,1,4100000
Sat,May,2022,0,"null"
Thu,May,2022,0,"null"
Sun,Mar,2022,0,"null"
Fri,Oct,2022,0,"null"
Mon,Feb,2022,0,"null"
Wed,Sep,2022,0,"null"
Tue,Jul,2022,0,"null"
Fri,Sep,2022,0,"null"
Tue,Jan,2022,0,"null"
Sat,Aug,2022,0,"null"
Mon,Aug,2022,1,660000
Fri,Jul,2022,0,"null"
Fri,Aug,2022,0,"null"
Wed,Oct,2022,0,"null"
Thu,Mar,2022,0,"null"
Wed,Dec,2022,0,"null"
Thu,Feb,2022,0,"null"
Sun,Sep,2022,0,"null"
Sun,Feb,2022,0,"null"
Sat,Nov,2022,0,"null"
Wed,Apr,2022,0,"null"
Sun,Aug,2022,0,"null"
Sat,Oct,2022,0,"null"
Wed,Feb,2022,1,320000000
Thu,Dec,2022,1,20000000
Sat,Jun,2022,0,"null"
Sun,Dec,2022,0,"null"
Tue,Nov,2022,0,"null"
Sat,Sep,2022,0,"null"
Tue,Dec,2022,0,"null"
Sat,Feb,2022,0,"null"
Sat,Apr,2022,1,"null"
Wed,Aug,2022,0,"null"
Fri,Dec,2022,1,5500000
Mon,Mar,2022,0,"null"
Mon,Jan,2022,0,"null"
Thu,Jan,2022,0,"null"
Thu,Apr,2022,0,"null"
Fri,Jun,2022,0,"null"
Sun,Oct,2022,0,"null"
Sun,Jul,2022,0,"null"
Mon,Apr,2022,0,"null"
Sun,May,2022,0,"null"
Fri,Feb,2022,0,"null"
Fri,Mar,2022,0,"null"
Tue,Sep,2022,0,"null"
Wed,Mar,2022,0,"null"
Wed,Jun,2022,1,"null"
Tue,Feb,2022,0,"null"
Tue,May,2022,0,"null"
Fri,Apr,2022,0,"null"
Mon,Nov,2022,0,"null"
Fri,Jan,2022,0,"null"
Thu,Jul,2022,1,3500000
Thu,Aug,2022,0,"null"
Thu,Nov,2022,0,"null"
Sat,Mar,2022,0,"null"
Sun,Jan,2022,0,"null"
Sun,Apr,2022,0,"null"
Wed,Jul,2022,0,"null"
Tue,Apr,2022,0,"null"
Mon,Jul,2022,0,"null"
Wed,May,2022,0,"null"
Sat,Jan,2022,1,"null"
Mon,Sep,2022,0,"null"
Tue,Oct,2022,1,110000000
Tue,Jun,2022,0,"null"
Thu,Jun,2022,0,"null"
Mon,Jun,2022,0,"null"
Mon,Oct,2022,0,"null"
Sun,Jun,2022,0,"null"
Thu,Sep,2022,1,"null"
Sun,Nov,2022,0,"null"
Tue,Mar,2022,1,50000000
Thu,Oct,2022,0,"null"
Sun,May,2021,0,"null"
Fri,Nov,2021,0,"null"
Sat,Sep,2021,0,"null"
Sat,Feb,2021,0,"null"
Mon,Jan,2021,0,"null"
Tue,Feb,2021,0,"null"
Wed,Feb,2021,0,"null"
Mon,May,2021,0,"null"
Fri,May,2021,0,"null"
Tue,Apr,2021,0,"null"
Thu,Nov,2021,0,"null"
Thu,Sep,2021,0,"null"
Wed,Jun,2021,0,"null"
Fri,Aug,2021,0,"null"
Sat,Mar,2021,0,"null"
Sun,Sep,2021,0,"null"
Sat,Aug,2021,0,"null"
Wed,Mar,2021,0,"null"
Fri,Jul,2021,0,"null"
Wed,May,2021,0,"null"
Fri,Feb,2021,0,"null"
Mon,Feb,2021,0,"null"
Tue,Jul,2021,0,"null"
Thu,Jun,2021,0,"null"
Thu,Aug,2021,0,"null"
Sun,Oct,2021,0,"null"
Sun,Dec,2021,0,"null"
Tue,Aug,2021,0,"null"
Mon,Jun,2021,0,"null"
Mon,Oct,2021,0,"null"
Fri,Apr,2021,0,"null"
Tue,Jun,2021,0,"null"
Sat,May,2021,0,"null"
Thu,Dec,2021,0,"null"
Mon,Aug,2021,0,"null"
Tue,Oct,2021,0,"null"
Sun,Jan,2021,0,"null"
Sun,Feb,2021,0,"null"
Thu,May,2021,0,"null"
Tue,Mar,2021,0,"null"
Wed,Sep,2021,0,"null"
Fri,Mar,2021,0,"null"
Fri,Jun,2021,0,"null"
Sat,Dec,2021,0,"null"
Sun,Aug,2021,0,"null"
Wed,Jan,2021,0,"null"
Sat,Nov,2021,0,"null"
Thu,Apr,2021,0,"null"
Thu,Mar,2021,0,"null"
Sun,Mar,2021,0,"null"
Wed,Oct,2021,0,"null"
Sun,Apr,2021,0,"null"
Tue,May,2021,0,"null"
Thu,Feb,2021,0,"null"
Mon,Mar,2021,0,"null"
Tue,Dec,2021,0,"null"
Sun,Jul,2021,0,"null"
Wed,Dec,2021,0,"null"
Tue,Sep,2021,1,"null"
Mon,Sep,2021,0,"null"
Sat,Jul,2021,0,"null"
Tue,Jan,2021,0,"null"
Wed,Jul,2021,0,"null"
Tue,Nov,2021,0,"null"
Fri,Jan,2021,0,"null"
Sun,Nov,2021,0,"null"
Thu,Jul,2021,0,"null"
Wed,Nov,2021,0,"null"
Mon,Dec,2021,0,"null"
Sat,Apr,2021,0,"null"
Mon,Apr,2021,0,"null"
Thu,Oct,2021,0,"null"
Sat,Jun,2021,0,"null"
Sat,Oct,2021,0,"null"
Fri,Sep,2021,0,"null"
Mon,Nov,2021,0,"null"
Fri,Dec,2021,0,"null"
Fri,Oct,2021,0,"null"
Mon,Jul,2021,0,"null"
Wed,Aug,2021,0,"null"
Sun,Jun,2021,0,"null"
Wed,Apr,2021,0,"null"
Sat,Jan,2021,0,"null"
Thu,Jan,2021,0,"null"
Sat,Apr,2020,0,"null"
Sat,Aug,2020,0,"null"
Sun,Sep,2020,0,"null"
Thu,Oct,2020,0,"null"
Mon,Apr,2020,0,"null"
Sat,Mar,2020,0,"null"
Sun,Feb,2020,0,"null"
Fri,Nov,2020,0,"null"
Mon,Jun,2020,0,"null"
Mon,Oct,2020,0,"null"
Thu,Jul,2020,0,"null"
Sat,Nov,2020,0,"null"
Thu,Sep,2020,0,"null"
Mon,Feb,2020,0,"null"
Sat,Sep,2020,0,"null"
Sun,Oct,2020,0,"null"
Tue,Apr,2020,0,"null"
Mon,Jan,2020,0,"null"
Tue,Jul,2020,0,"null"
Sun,Dec,2020,0,"null"
Sat,Jun,2020,0,"null"
Sun,Aug,2020,0,"null"
Wed,Apr,2020,0,"null"
Thu,Nov,2020,0,"null"
Sat,Jan,2020,0,"null"
Mon,May,2020,0,"null"
Wed,Sep,2020,0,"null"
Wed,Feb,2020,0,"null"
Fri,May,2020,0,"null"
Fri,Apr,2020,0,"null"
Fri,Aug,2020,0,"null"
Mon,Sep,2020,0,"null"
Sun,Apr,2020,0,"null"
Wed,May,2020,0,"null"
Sun,Nov,2020,0,"null"
Tue,Jun,2020,0,"null"
Sun,Jul,2020,0,"null"
Thu,Aug,2020,0,"null"
Mon,Nov,2020,0,"null"
Sun,Mar,2020,0,"null"
Wed,Nov,2020,0,"null"
Tue,Sep,2020,0,"null"
Tue,Aug,2020,0,"null"
Fri,Mar,2020,0,"null"
Wed,Aug,2020,0,"null"
Sun,Jan,2020,0,"null"
Fri,Feb,2020,0,"null"
Thu,Dec,2020,0,"null"
Tue,May,2020,0,"null"
Fri,Sep,2020,0,"null"
Wed,Jul,2020,0,"null"
Fri,Oct,2020,0,"null"
Mon,Jul,2020,0,"null"
Fri,Dec,2020,0,"null"
Sat,Dec,2020,0,"null"
Sat,Oct,2020,0,"null"
Thu,Jan,2020,0,"null"
Sun,May,2020,0,"null"
Mon,Mar,2020,0,"null"
Tue,Oct,2020,0,"null"
Wed,Oct,2020,0,"null"
Tue,Jan,2020,0,"null"
Tue,Mar,2020,0,"null"
Wed,Dec,2020,0,"null"
Tue,Dec,2020,0,"null"
Wed,Mar,2020,0,"null"
Sat,Jul,2020,0,"null"
Sun,Jun,2020,0,"null"
Sat,May,2020,0,"null"
Mon,Aug,2020,0,"null"
Fri,Jul,2020,0,"null"
Thu,Mar,2020,0,"null"
Wed,Jun,2020,0,"null"
Mon,Dec,2020,1,"null"
Fri,Jun,2020,0,"null"
Sat,Feb,2020,0,"null"
Wed,Jan,2020,0,"null"
Fri,Jan,2020,0,"null"
Thu,Apr,2020,0,"null"
Tue,Nov,2020,0,"null"
Thu,May,2020,0,"null"
