INCIDENT,LOSS_USD
Wormhole Bridge Hack,320000000
Mango Markets price-manipulation hack,110000000
Cashio Hack,50000000
DEXX memecoin DEX hack,30000000
UXD stablecoin bank run (yield flaw),20000000
Crema Finance hack,8000000
Loopscale lending exploit,5800000
Raydium key compromise,5500000
Slope Wallet key leak (mobile app),4100000
Nirvana flash-loan exploit,3500000
Pump.fun memecoin exploit,2000000
Solend oracle exploit,1260000
OptiFi program closure (self-error),660000
Solana/web3.js supply-chain backdoor,160000
﻿
