TIMESPAN,TRANSACTION_COUNT
2020-12-04 00:00:00.000,455066
2020-12-04 01:00:00.000,450157
2020-12-04 02:00:00.000,491732
2020-12-04 03:00:00.000,527460
2020-12-04 04:00:00.000,473814
2020-12-04 05:00:00.000,400599
2020-12-04 06:00:00.000,418927
2020-12-04 07:00:00.000,445592
2020-12-04 08:00:00.000,508917
2020-12-04 09:00:00.000,438819
2020-12-04 10:00:00.000,596463
2020-12-04 11:00:00.000,576981
2020-12-04 12:00:00.000,589377
2020-12-04 13:00:00.000,360104
2020-12-04 14:00:00.000,"null"
2020-12-04 15:00:00.000,"null"
2020-12-04 16:00:00.000,"null"
2020-12-04 17:00:00.000,"null"
2020-12-04 18:00:00.000,4100
2020-12-04 19:00:00.000,12289
2020-12-04 20:00:00.000,141313
2020-12-04 21:00:00.000,485144
2020-12-04 22:00:00.000,523890
2020-12-04 23:00:00.000,524234
﻿
