EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
Transfered,2022-02-02 18:35:36.000,2wor1JjWFLLwgzVgjREXbHDk9HVkPAnY5xjWnVKRK18hvkFtSw9KkmdQyUbWdSQu8KTTMv43x7VWpA1527zQjArH,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,18044852.11,18070295.3
Transfered,2022-02-02 18:56:28.000,29Rb5q5hYb2bxMKNeT2jkJ4WLqgGWqYmA8aNvrE5vG8BTtHMUDesxbyGMcmGaZj3tqXDacPQAQkPbz1kaF5fYer6,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,4981312.28,4988335.92
Transfered,2022-02-02 18:57:04.000,4yRXEgJ5QLKWFGPMEUF4nqpN6ZkLqQxxiw8XkspvyaApVg3gbKNNDMUQroPMEs7yB7Riej4B39cesaReNt1hLdKk,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,4981312.28,4988335.92
Transfered,2022-02-02 18:34:48.000,4ZYmPrwPUXfyUqp4GAh6thxe8TM8rJ5JEC7ns7nhE6Jeq4dbp3PpLem1TX6b4Ntg3fPF5gU7ZDYvXkQQcsj3RyvC,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,18044852.11,18070295.3
Transfered,2023-01-23 20:33:35.000,483PVW4HxWMz6NDsdJpDbftfySSeZDbERQjnLCvEkdkCV3GWfsBqUNagRxHZoS7zmnU3bpKqBudmV4RtrjtYQvF4,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,98676.84,99493.51
Transfered,2023-01-23 20:38:56.000,36m171rTiV9VQMcJ8eB83eBaiPWpkEcX449fjq8cY7yUkj7LqZLakdCADmtYvANU2vyPHX3P9LQay4bDt6v3TaFZ,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,78893.14,79546.07
Transfered,2023-01-23 23:49:28.000,32PDTdgBN4vFaiFaVqsF4cQcGz1yuAwfrNSvyyxxjhVazmn4K8TtZNbkmEZkRoJGHNZAjgZPoqv8tczvQrir3sZ8,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,11511.1,11606.37
Transfered,2023-01-23 20:29:09.000,3jfPUmPJWr1eo5LbRj49wQe6WcLA2dTfUKMJqTsbN2HhhXYbRURUXJGDszhKa3Bz2158iLWPzHjryCJZv8f79JJj,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,134753.41,135868.65
Transfered,2023-01-23 23:49:28.000,32PDTdgBN4vFaiFaVqsF4cQcGz1yuAwfrNSvyyxxjhVazmn4K8TtZNbkmEZkRoJGHNZAjgZPoqv8tczvQrir3sZ8,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,234833.79,236777.3
Transfered,2023-01-23 20:41:45.000,3HEKHMHjVVQTtpzi2EWMaT8Xa7p3G9DCHhpouDLKDADmwFhs8oZ5VVw11vvURBuaPgcQbtQBK91qvu7BgH29UcUY,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,45032.55,45405.25
Transfered,2023-01-23 23:56:05.000,5LNegZCoZ5BLRykzKXAAUD3GfTD5zSofPdCXgXcN2zJJsQynxpux1zMeformNagTEW7PNSD2DyweAApQhvVH35iY,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,603700.84,608697.14
Transfered,2023-01-23 20:30:45.000,48HVwBFMYj2udQTsXLu2QrmKNPxLf45ammazcghZkmAVJNiTd1B6nWiNj5HWGBR9yhDkXXdEUUuPST5RPr3zALyu,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,30.68,49819.94
Transfered,2023-01-23 20:32:57.000,3pSp7KpMkHyEa1mZUMmdBkxxn6VJ9oUDsyDjjDkaHwJsHbq2Zm8n8xLpp3qA9Mva3Ef2TeF3rv4BxAmWDvmoRKr4,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,11.74,19062.09
Transfered,2023-01-23 23:50:33.000,efVnNQKXYAg3FL3Sw1ye3XBF9CRStSX5SVKQ8wQhMwUea1z465L5m8Q9pJC2XqLvpd9gjT5UVp824Dod9CzQxhr,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,4,6490.19
Transfered,2023-01-23 23:56:24.000,2CL2D9hbk2626iH4S5Wd5GdkUxsknBeT3zZdfG33wQih3Dx5UG6Cf1eWMFRsz16Tjp12SbhgwDJxyZfScNgg5oiG,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,149.37,242570.19
Transfered,2023-01-23 20:32:11.000,7gaYEoVAEy1KgBuwU8hkNNecbPmuS34b4bLEar13ZZT9E4Gbt8CVrzne53D1kpthnM9fzoqNaN8YRVzwVLu6XXc,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,11.97,19438.25
Transfered,2023-01-23 20:41:05.000,3gT5VW9Y5kyG2mNQEP39ZhCPbv6aW22GWbtpnD5ydDjT8n2TmpUvpkUgNdZhd72L88hXJHCcxfEcmvH7KaeFq9Yi,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,6,9746.98
Transfered,2023-01-23 23:50:33.000,efVnNQKXYAg3FL3Sw1ye3XBF9CRStSX5SVKQ8wQhMwUea1z465L5m8Q9pJC2XqLvpd9gjT5UVp824Dod9CzQxhr,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,84.99,138012.75
Transfered,2023-01-23 20:27:54.000,5CcaWZnejtmeNMfHZadsZGchcomdDLjX7ZV43TEMqxpWRD8hnTSqGxqAUdVDay6RGKkrZnBWqiTiVN3GbGa47GG8,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,243384.48,244603.88
Transfered,2023-01-23 20:40:02.000,4F1EVeUn9JFP1CrBjb58KNS3uoq1mq9nqwYhsk1xZSZ1tjbniwNxgVFV1wPvSi3arhdKL8ZcuTC4zJMpz88RkE2a,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,78522.33,78915.74
Transfered,2023-01-23 20:42:35.000,4tpgkCHctnrgWo53tjUdh1kwnjvko2mF2WJF8ZFgm9QykYBtLwjZ5L2tkuQvyReMSDmuvopKgHEDrTq7DbDSx7Jo,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,44464.96,44687.74
Transfered,2023-01-23 23:49:57.000,2wkaRjYkbAb5fib3zRzF3SC1auMbxVJwF6W7phfJrZQ2efs8fn3tcj8kC5CTwNGGja1EyMAMA85koMXdQ6SmY6u,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,191295.72,192254.15
Transfered,2023-01-24 00:27:30.000,ykfzhqf8caTnTH5J9RE8EuXyier5KYGRB7xLAzTQJAMW5fyPjpwVpXMkXLz3qsJCP9o45JLGidepzxZHrZDHjCZ,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDTET,157899.45,158157.46
Transfered,2023-01-24 00:32:21.000,3Wa2K7vH3AbzrsbmRgFDW7KW32VBNUFgr8o2GPeW9nimHChPUo6A5LRMzrhgbJ9TQXWVsobZbs4BFrLwDESQ6HfE,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,100245.86,100409.67
Transfered,2023-01-24 00:24:19.000,627M3chzFe8JjLiZ4a6KrcHuZXKXKkzhQsYJWgVSBtE48nfaRdrpbiC2qWXk7q7VCwqXbBfxmUE8nBhrQcqkcWjF,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,57214.09,57307.58
Transfered,2023-01-24 00:05:50.000,2xdWAdKz6duqeWc8agPEWTL2kmTM6ZC7SqUePjMvpyJ1NxJUkvr1jhy8ja3B1hCC7uswCxNhZcuKXpYGCqbf5nDv,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDTET,557667.49,558578.74
Transfered,2023-01-24 00:33:28.000,2LsJLFRopsAWRHUNEYyz2JASLzCPQfs3fytossKW9XhPqRpynzoHmo8WV1V1PRyrjcy7VXDrQMFb9fX9Xjhso827,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDTET,100245.86,100409.67
Transfered,2023-01-24 00:17:03.000,HUa6QUB6Jh1ChwTxxkAmMXMY6aWnQWjc8WZR5JKwwj9Ai9iMaVuYptLNy4D7mELedpJQHrjs9EXQieWQdTkPAbv,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDTET,100685.37,100849.89
Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,SOL,2000,49032.66
Transfered,2023-01-14 18:24:40.000,66fJuvD45GRgPHHNiQ7QA84FtePudB9PfT4huE2cbxj7SaL4QYJcspXfocfKouHmkJqQ55fU36aZ7EfHSk9exdNG,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,1253129.21,1253508.62
Transfered,2023-01-14 18:36:03.000,gxfrGv1DYf7Nga3jAtzap2yyp4xHWtJsvNdbCkvapyTq3wjxguqexgbzNQPEw4wQFJheNzkCdkcvbNgP47XBeJ5,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDCET,2683305.11,2684117.54
Transfered,2023-01-14 18:24:02.000,4H5jBWHqXb1LykLMRcgn5o5JG46k8ZR8ixAq9USeycLvqN1PbHBoTCCM3eEntxHKR8HeMgjyKkoGKmiHQjmmG59N,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDCET,1430175.91,1430608.92
Transfered,2023-01-24 00:23:34.000,5HKyoRs73VRgJVpJUvRj22rpQMp3mqtcd9WeGWkZWBqkDqHc83SjLzviuaYUSth9BFMaTzBVXhKeSSenXrHYNjxx,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,180000,180101.25
Transfered,2023-01-24 00:24:19.000,627M3chzFe8JjLiZ4a6KrcHuZXKXKkzhQsYJWgVSBtE48nfaRdrpbiC2qWXk7q7VCwqXbBfxmUE8nBhrQcqkcWjF,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,60000,60033.75
Transfered,2023-01-24 00:17:03.000,HUa6QUB6Jh1ChwTxxkAmMXMY6aWnQWjc8WZR5JKwwj9Ai9iMaVuYptLNy4D7mELedpJQHrjs9EXQieWQdTkPAbv,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,110000,110061.87
Transfered,2023-01-24 00:26:26.000,3PrpLqHqz4qwSWR44wVTamitQad46MEsU4NDfgFayfry5XYYgRc2W8b66fL7JTzysbozu3kZhmaSMqdLkg6vLXhV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,70000,70039.37
Transfered,2023-01-24 00:32:36.000,2r9sSjzWcnniDQmpUprHUxaRSeGwaELh9DMwi9xirsW1U1AZmyqK1L9QELqQYerXfyQW4kiE3PCoBbLUV1CYt1FL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,0.15,0.15
Transfered,2023-01-24 00:36:34.000,wwVYm5RejmEm2o5AUgNATkFAU7x67xnB6fLKNJGSnUkCa43MbQqKFwNaSm14Qqpr7NFcMmb9st1gy9pYxqitbsh,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,USDC,48552.97,48580.28
Transfered,2023-01-24 00:15:49.000,67KNcq2Q4r5dxGnPxYKyGriWMoxRwEyrZeHYnDz8MzREqcv2sMad9PtkxoS5RjtxgjJHcvd8ihtjMw9YhpDYcyRL,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,USDC,399000,399224.43
