TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Bridged 0.1ETH inbound worth 273.63USD 0 minutes later,Bridged,2022-02-02 15:23:05.000,3HRKFcGjVVtf1kTHWXqJmG6zimbNeQAgN5xbt3MjP3ewYB1ih1WuWjMU6EWQXAz8shD46A3uyYW9pahoARrBmmPu,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,0.1,273.63
181,Exploiter Bridged 120000ETH inbound worth 328358358.88USD 181 minutes later,Bridged,2022-02-02 18:24:13.000,2zCz2GgSoSS68eNJENWrYB48dMM1zmH8SZkgYneVDv2G4gRsVfwu5rNXtK5BKFxn7fSqX9BvrBc1rdPAeBEcD6Es,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,inbound,ETH,120000,328358358.88
1,Exploiter Bridged 10000ETH outbound worth 27363196.57USD 1 minutes later,Bridged,2022-02-02 18:25:26.000,5UaqPus91wvAzKNve6L8YAHsESomZQ7GWi37gPFyzTHcXNMZA641bb8m8txo7bS7A5cAnzKDKYyiKcQC8GgDcAuf,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,10000,27363196.57
2,Exploiter Bridged 80000ETH outbound worth 218905572.59USD 2 minutes later,Bridged,2022-02-02 18:27:10.000,j3jUDG43di8Dsg7Q3jQhstamtBovu1GLqnDJ7yNvM3r4pnK9e7uqgt9uBobCjT5S1BKhZZFQNQwDxypEYqLknec,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,80000,218905572.59
3,Exploiter Bridged 3750ETH outbound worth 10261198.72USD 3 minutes later,Bridged,2022-02-02 18:30:28.000,3AugXqrXunBa96YfqENhPBiWZWpnSnJdqAHS64qcHTVU9KtfGon8cN9cUuXsDmBobBBXjYUtuRxnYxgERS42nh6G,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,outbound,ETH,3750,10261198.72
4,Exploiter Transfered 269356.67SOL from GRiN6BiHeaa2wrFEpqzR397d6RqefCSRhnQVsVscwT3r worth 28878346.58USD 4 minutes later,Transfered,2022-02-02 18:34:18.000,2SndtH3tU4j6v14HJzEde3d3dnpdHqTPn4VnvhTj4zKLo26H5kmtCwjn2nANfjXNVbmFsyEGtD4Jte25azsPwaRk,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from GRiN6BiHeaa2wrFEpqzR397d6RqefCSRhnQVsVscwT3r,SOL,269356.67,28878346.58
0,Exploiter Transfered 26250.1ETH to GRiN6BiHeaa2wrFEpqzR397d6RqefCSRhnQVsVscwT3r worth 71828664.64USD 0 minutes later,Transfered,2022-02-02 18:34:18.000,2SndtH3tU4j6v14HJzEde3d3dnpdHqTPn4VnvhTj4zKLo26H5kmtCwjn2nANfjXNVbmFsyEGtD4Jte25azsPwaRk,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to GRiN6BiHeaa2wrFEpqzR397d6RqefCSRhnQVsVscwT3r,ETH,26250.1,71828664.64
0,Exploiter Transfered 9370.72ETH from GRiN6BiHeaa2wrFEpqzR397d6RqefCSRhnQVsVscwT3r worth 25641279.59USD 0 minutes later,Transfered,2022-02-02 18:34:18.000,2SndtH3tU4j6v14HJzEde3d3dnpdHqTPn4VnvhTj4zKLo26H5kmtCwjn2nANfjXNVbmFsyEGtD4Jte25azsPwaRk,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from GRiN6BiHeaa2wrFEpqzR397d6RqefCSRhnQVsVscwT3r,ETH,9370.72,25641279.59
0,Exploiter Transfered 1866.84ETH from FG3z1H2BBsf5ekEAxSc1K6DERuAuiXpSdUGkYecQrP5v worth 5108261.96USD 0 minutes later,Transfered,2022-02-02 18:34:48.000,4ZYmPrwPUXfyUqp4GAh6thxe8TM8rJ5JEC7ns7nhE6Jeq4dbp3PpLem1TX6b4Ntg3fPF5gU7ZDYvXkQQcsj3RyvC,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from FG3z1H2BBsf5ekEAxSc1K6DERuAuiXpSdUGkYecQrP5v,ETH,1866.84,5108261.96
0,Exploiter Transfered 9370.72ETH to FG3z1H2BBsf5ekEAxSc1K6DERuAuiXpSdUGkYecQrP5v worth 25641279.59USD 0 minutes later,Transfered,2022-02-02 18:34:48.000,4ZYmPrwPUXfyUqp4GAh6thxe8TM8rJ5JEC7ns7nhE6Jeq4dbp3PpLem1TX6b4Ntg3fPF5gU7ZDYvXkQQcsj3RyvC,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to FG3z1H2BBsf5ekEAxSc1K6DERuAuiXpSdUGkYecQrP5v,ETH,9370.72,25641279.59
